RBR XR-420-CTDTu  4.60 010364 (Windows: 6.13)
Host time     11/05/12 09:40:07
Logger time   00/01/01 00:01:03
Logging start 11/03/10 10:26:30
Logging end   11/05/05 14:00:47
Sample period          00:01:00
Number of channels =  4, number of samples =  56115, mode: Logging Complete
N04%9.4f
Calibration  1: 0.019000000000000
                115.816999999999990
                0.000000000000000
                0.000000000000000 mS/cm
Calibration  2: 0.003393357512372
                -0.000253374267740
                0.000002085728346
                -0.000000065315866 Degrees_C
Calibration  3: -0.433104483498000
                649.886311963025950
                44.500312786084002
                21.978793100453998 deciBars
Calibration  4: 0.000000000000000
                5.000000000000000
                0.000000000000000
                0.000000000000000 NTU
Correction to conductivity: 0.0000000e+000 0.0000000e+000 0.0000000e+000 0.0000000e+000
COMMENT: pescadero - downstream - march 10 to about May 5 (retrieved may 11).  third from bottom probably
Memory type: 2 AMD 29LV033C
Averaging: 3 seconds
Logger start:Now 

     Cond      Temp      Pres      Turb 
  -0.0069   14.4876   -0.4331    3.3484 
  -0.0054   14.9739   -0.4331    0.5529 
  -0.0077   14.9074   -0.4331    0.5531 
  -0.0130   14.3897   -0.4331    0.5501 
  -0.0143   14.7853   -0.4331    0.5510 
  -0.0152   14.7395   -0.4331    0.5498 
  -0.0162   15.1657   -0.4331    0.5494 
  -0.0154   15.0320   -0.4331    0.5505 
  -0.0123   14.6775  549.7361    0.5587 
  -0.0117   14.9050   -0.4331    0.5493 
  -0.0165   14.7974   -0.4331    0.5510 
  -0.0153   15.0058   -0.4331    0.5507 
  -0.0133   14.9902   -0.4331    0.5499 
  -0.0157   15.0179  138.0850    0.5563 
  -0.0098   15.1128   66.0645    0.5565 
  -0.0151   15.2279   -9.0518    0.5584 
  -0.0123   15.3097  610.8385    0.5600 
  -0.0123   15.4331   72.3393    0.5614 
  -0.0112   15.3496  403.9560    0.5695 
  -0.0132   15.5767  194.8808    0.5711 
  -0.0119   15.7742  250.6209    0.5720 
  -0.0113   15.9677  402.2987    0.5723 
  -0.0139   16.1940  313.0849    0.5761 
  -0.0098   16.2454  416.0138    0.5792 
  -0.0106   16.6458  479.0198    0.5805 
  -0.0083   16.7839  499.2637    0.5827 
  -0.0095   16.9663  499.2793    0.5834 
  -0.0111   17.0268  499.2564    0.5839 
  -0.0078   16.8525  499.2356    0.5851 
  -0.0064   17.1906  499.2236    0.5840 
  -0.0085   17.0595  499.2062    0.5831 
  -0.0086   17.1346  499.1937    0.5818 
  -0.0092   17.2175  499.1754    0.5811 
  -0.0087   17.4317  499.1493    0.5826 
