RBR XR-420-CTDTu  4.60 010364 (Windows: 6.13)
Host time     11/03/10 10:22:11
Logger time   00/01/01 00:00:54
Logging start 11/01/27 12:49:50
Logging end   11/03/21 14:00:47
Sample period          00:01:00
Number of channels =  4, number of samples =  57801, mode: Logging Complete
N04%9.4f
Calibration  1: 0.019000000000000
                115.816999999999990
                0.000000000000000
                0.000000000000000 mS/cm
Calibration  2: 0.003393357512372
                -0.000253374267740
                0.000002085728346
                -0.000000065315866 Degrees_C
Calibration  3: -0.433104483498000
                649.886311963025950
                44.500312786084002
                21.978793100453998 deciBars
Calibration  4: 0.000000000000000
                5.000000000000000
                0.000000000000000
                0.000000000000000 NTU
Correction to conductivity: 0.0000000e+000 0.0000000e+000 0.0000000e+000 0.0000000e+000
COMMENT: pdo 3102011
Memory type: 2 AMD 29LV033C
Averaging: 3 seconds
Logger start:Now 

     Cond      Temp      Pres      Turb 
   0.0276   14.7795   -0.4331    0.5418 
   0.0230   14.8382   -0.4331    4.0247 
   0.0127   14.3985   -0.4331    4.0646 
   0.0089   14.2790   -0.4331    4.1687 
   0.0131   14.3058   -0.4331    4.2229 
   0.0092   14.1411   -0.4331    4.2481 
   0.0119   14.1893   -0.4331    4.2231 
   0.0154   14.1282   -0.4331    4.3089 
   0.0127   14.1719   -0.4331    4.2626 
   0.0153   14.4050   -0.4331    4.4278 
   0.0190   14.1416   -0.4331    4.4484 
   0.0169   13.9125   -0.4331    4.5181 
   0.0261   13.9619   -0.4331    0.5491 
   0.0287   14.0045   -0.4331    0.5488 
   0.0253   14.4108   -0.4331    0.5551 
   0.0263   14.5031   -0.4331    0.6250 
   0.0245   14.5333   -0.4331    0.6250 
   0.0263   14.7739   -0.4331    0.5518 
   0.0214   15.1450   -0.4331    0.5572 
   0.0229   15.4711   -0.4331    0.5612 
   0.0212   15.7652   -0.4331    1.8436 
   0.0122   15.3869   -0.4331    0.5673 
   0.0079   15.3468   -0.4331    0.9359 
   0.0057   14.9790   -0.4331    0.6250 
   0.0189   14.6295   -0.4331    0.3186 
  31.4310   12.2259   -0.4331    0.1920 
  22.1364   11.5265   -0.4331    0.3204 
  29.0805   11.5560   -0.4331    0.4177 
  27.4005   11.5593   -0.4331    0.5446 
  28.0525   11.5363   -0.4331    0.6157 
  27.5748   11.5489   -0.4331    0.6027 
  34.8214   11.6820   -0.4331    0.4979 
  33.6658   11.6861   -0.4331    0.5063 
  33.5285   11.7292   -0.4331    0.4866 
  33.5168   11.7356   -0.4331    0.4715 
  33.6415   11.7489   -0.4331    0.4765 
  33.6903   11.7441   -0.4331    0.4743 
  34.1511   11.7318   -0.4331    0.4834 
  30.7461   11.6900   -0.4331    0.4778 
  33.1057   11.7493   -0.4331    0.4800 
  32.8288   11.7470   -0.4331    0.4814 
  31.8267   11.7120   -0.4331    0.4797 
  33.4144   11.7808   -0.4331    0.4867 
  33.1863   11.7431   -0.4331    0.4908 
  33.3938   11.7724   -0.4331    0.4835 
  33.6301   11.7685   -0.4331    0.4887 
  33.4491   11.7821   -0.4331    0.4887 
  32.4367   11.7980   -0.4331    0.4808 
  33.1010   11.8453   -0.4331    0.4880 
  33.0931   11.8477   -0.4331    0.4887 
  33.5316   11.8415   -0.4331    0.4870 
  34.0415   11.8363   -0.4331    0.4824 
  34.0074   11.8298   -0.4331    0.4881 
  34.0642   11.8332   -0.4331    0.4881 
  33.9864   11.8389   -0.4331    0.4878 
  34.2458   11.8315   -0.4331    0.4852 
  33.6993   11.8829   -0.4331    0.4824 
  33.7062   11.9121   -0.4331    0.4886 
  33.8996   11.9107   -0.4331    0.4889 
  33.9763   11.9105   -0.4331    0.4888 
  32.8763   11.9152   -0.4331    0.4868 
  33.4002   11.9171   -0.4331    0.4889 
  33.7874   11.9164   -0.4331    0.4882 
  33.8150   11.9467   -0.4331    0.4888 
  34.0949   11.9657   -0.4331    0.4872 
  34.3486   11.9670   -0.4331    0.4895 
  34.3232   11.9536   -0.4331    0.4867 
  34.3728   11.9419   -0.4331    0.4879 
  34.2553   11.9434   -0.4331    0.4871 
  34.1692   11.9422   -0.4331    0.4803 
  34.2421   12.0019   -0.4331    0.4873 
  34.2205   12.0403   -0.4331    0.4870 
  33.9869   12.0772   -0.4331    0.4838 
  34.0710   12.0892   -0.4331    0.4866 
  34.1660   12.0545   -0.4331    0.4792 
  34.2762   12.0887   -0.4331    0.4832 
  33.7019   12.0888   -0.4331    0.4828 
  33.7289   12.1207   -0.4331    0.4848 
  33.9964   12.1628   -0.4331    0.4829 
  34.1910   12.1414   -0.4331    0.4847 
  34.4474   12.1052   -0.4331    0.4767 
  34.2833   12.1140   -0.4331    0.4807 
  34.3475   12.0609   -0.4331    0.4867 
  34.2838   12.1701   -0.4331    0.4811 
  34.2466   12.1415   -0.4331    0.4820 
  34.3664   12.1169   -0.4331    0.4830 
  34.1215   12.1395   -0.4331    0.4778 
  33.7648   12.1990   -0.4331    0.4766 
  34.2536   12.1358   -0.4331    0.4806 
  34.4366   12.0825   -0.4331    0.4792 
  34.5856   12.1094   -0.4331    0.4740 
  34.3533   12.1828   -0.4331    0.4788 
  34.2312   12.1786   -0.4331    0.4780 
  33.8999   12.2157   -0.4331    0.4760 
  34.2449   12.2293   -0.4331    0.4708 
  34.1649   12.1469   -0.4331    0.4684 
  34.2137   12.1915   -0.4331    0.4683 
  33.9704   12.2457   -0.4331    0.4574 
  34.0167   12.2727   -0.4331    0.4601 
  33.7969   12.2392   -0.4331    0.4700 
  34.0655   12.2721   -0.4331    0.4723 
  33.7771   12.3017   -0.4331    0.4461 
  33.6074   12.2774   -0.4331    0.4522 
  34.1958   12.3338   -0.4331    0.4550 
  34.2341   12.3508   -0.4331    0.4462 
  33.4930   12.2723   -0.4331    0.4464 
  33.4868   12.3337   -0.4331    0.4573 
  33.7838   12.3678   -0.4331    0.4462 
  33.5634   12.3412   -0.4331    0.4518 
  34.1550   12.1929   -0.4331    0.4529 
  32.3906   12.2683   -0.4331    0.4538 
  32.9715   12.3522   -0.4331    0.4536 
  32.0639   12.2464   -0.4331    0.4531 
  31.8223   12.2913   -0.4331    0.4548 
  32.4657   12.4323   -0.4331    0.4551 
  32.0782   12.3455   -0.4331    0.4467 
  32.7341   12.3893   -0.4331    0.4488 
  32.5286   12.3956   -0.4331    0.4553 
  32.3972   12.3537   -0.4331    0.4539 
  33.2531   12.3467   -0.4331    0.4534 
  33.1992   12.4237   -0.4331    0.4598 
  32.0115   12.3098   -0.4331    0.4650 
  31.8911   12.3127   -0.4331    0.4656 
  32.1886   12.2566   -0.4331    0.4577 
  32.9353   12.2872   -0.4331    0.4649 
  33.3349   12.3819   -0.4331    0.4602 
  32.0734   12.5288   -0.4331    0.4661 
  31.6105   12.5193   -0.4331    0.4755 
  32.3440   12.3851   -0.4331    0.4328 
  30.5106   12.4732   -0.4331    0.4900 
  32.0989   12.4069   -0.4331    0.4309 
  33.2981   12.3206   -0.4331    0.3533 
  31.3373   12.3916   -0.4331    0.3866 
  32.8412   12.4032   -0.4331    0.3386 
  31.8671   12.4512   -0.4331    0.3190 
  31.7910   12.3904   -0.4331    0.3237 
  33.7100   12.4446   -0.4331    0.4119 
  34.5161   12.3749   -0.4331    0.4241 
  35.0223   12.4039   -0.4331    0.3924 
  35.1614   12.3482   -0.4331    0.4077 
  32.7735   12.4149   -0.4331    0.3217 
  31.8043   12.5683   -0.4331    0.3316 
  31.9584   12.5105   -0.4331    0.1729 
  32.1292   12.4732   -0.4331    0.3343 
  31.7271   12.5225   -0.4331    0.3429 
  33.4255   12.4290   -0.4331    0.3487 
  33.2560   12.4778   -0.4331    0.3596 
  33.5245   12.4624   -0.4331    0.3562 
  34.1945   12.3921   -0.4331    0.3608 
  32.9322   12.4273   -0.4331    0.3562 
  31.7183   12.5277   -0.4331    0.3580 
  34.8663   12.4149   -0.4331    0.3510 
  33.6381   12.4250   -0.4331    0.3490 
  32.7440   12.4511   -0.4331    0.3543 
  33.6704   12.4223   -0.4331    0.3527 
  32.5089   12.4401   -0.4331    0.3573 
  32.5627   12.4365   -0.4331    0.3485 
  33.5269   12.4433   -0.4331    0.3540 
  33.6343   12.4983   -0.4331    0.3480 
  33.1902   12.5141   -0.4331    0.3522 
  35.0504   12.4861   -0.4331    0.3618 
  31.2820   12.5390   -0.4331    0.3647 
  34.3493   12.5085   -0.4331    0.4486 
  32.4955   12.5662   -0.4331    0.4516 
  31.4022   12.6548   -0.4331    0.4401 
  31.2955   12.6666   -0.4331    0.4405 
  31.6987   12.6726   -0.4331    0.4458 
  30.3558   12.8155   -0.4331    0.4489 
  30.2803   12.8744   -0.4331    0.4383 
  30.1183   12.9521   -0.4331    0.4413 
  30.3353   12.8845   -0.4331    0.4333 
  30.0017   12.9232   -0.4331    0.4448 
  30.1915   12.9295   -0.4331    0.4461 
  30.0663   12.9401   -0.4331    0.4447 
  30.1025   12.9499   -0.4331    0.4388 
  30.2083   12.9578   -0.4331    0.4387 
  29.9035   13.0121   -0.4331    0.4425 
  30.0514   12.9894   -0.4331    0.4211 
  29.8025   12.9845   -0.4331    0.4124 
  29.8900   13.0313   -0.4331    0.4240 
  29.8663   13.1467   -0.4331    0.4093 
  29.8722   13.1694   -0.4331    0.4116 
  29.8247   13.2094   -0.4331    0.4062 
  29.9743   13.1300   -0.4331    0.4113 
  29.9442   13.1599   -0.4331    0.4112 
  29.7183   13.1685   -0.4331    0.4108 
  29.2830   13.1917   -0.4331    0.4103 
  29.6260   13.1725   -0.4331    0.4156 
  29.5885   13.2082   -0.4331    0.4165 
  29.5286   13.1918   -0.4331    0.4209 
  29.3459   13.2340   -0.4331    0.4201 
  29.1348   13.2954   -0.4331    0.4199 
  29.1319   13.3481   -0.4331    0.4138 
  29.4707   13.2690   -0.4331    0.4150 
  29.4481   13.3003   -0.4331    0.4105 
  29.6077   13.3108   -0.4331    0.4161 
  29.5314   13.3048   -0.4331    0.4144 
  29.5495   13.2980   -0.4331    0.4144 
  29.5304   13.2959   -0.4331    0.4122 
  29.7771   13.2305   -0.4331    0.4170 
  29.5414   13.1879   -0.4331    0.4154 
  29.3688   13.2444   -0.4331    0.4200 
  29.4613   13.2696   -0.4331    0.4281 
  29.6024   13.2733   -0.4331    0.4306 
  29.6060   13.2449   -0.4331    0.4304 
  29.7854   13.1936   -0.4331    0.4273 
  29.3749   13.3021   -0.4331    0.4260 
  29.4204   13.3162   -0.4331    0.4120 
  29.2380   13.2511   -0.4331    0.4185 
  29.4684   13.3084   -0.4331    0.4151 
  29.5482   13.2835   -0.4331    0.4162 
  29.6770   13.2532   -0.4331    0.4150 
  29.5930   13.2819   -0.4331    0.3877 
  29.4833   13.3462   -0.4331    0.3917 
