YR,M,D,hh,mm,1MIN,6MIN,ALTERNATE,PREDICTED,RESIDUAL
2011,03,10,12,00,0.91,0.92,0.93,,
2011,03,10,12,01,0.89,,,,
2011,03,10,12,02,0.91,,,,
2011,03,10,12,03,0.89,,,,
2011,03,10,12,04,0.88,,,,
2011,03,10,12,05,0.88,,,,
2011,03,10,12,06,0.89,0.88,0.89,,
2011,03,10,12,07,0.85,,,,
2011,03,10,12,08,0.88,,,,
2011,03,10,12,09,0.85,,,,
2011,03,10,12,10,0.89,,,,
2011,03,10,12,11,0.85,,,,
2011,03,10,12,12,0.86,0.85,0.86,,
2011,03,10,12,13,0.85,,,,
2011,03,10,12,14,0.86,,,,
2011,03,10,12,15,0.82,,,,
2011,03,10,12,16,0.85,,,,
2011,03,10,12,17,0.83,,,,
2011,03,10,12,18,0.87,0.85,0.86,,
2011,03,10,12,19,0.82,,,,
2011,03,10,12,20,0.86,,,,
2011,03,10,12,21,0.81,,,,
2011,03,10,12,22,0.84,,,,
2011,03,10,12,23,0.81,,,,
2011,03,10,12,24,0.79,0.80,0.80,,
2011,03,10,12,25,0.82,,,,
2011,03,10,12,26,0.79,,,,
2011,03,10,12,27,0.82,,,,
2011,03,10,12,28,0.79,,,,
2011,03,10,12,29,0.81,,,,
2011,03,10,12,30,0.77,0.79,0.79,,
2011,03,10,12,31,0.81,,,,
2011,03,10,12,32,0.77,,,,
2011,03,10,12,33,0.79,,,,
2011,03,10,12,34,0.75,,,,
2011,03,10,12,35,0.77,,,,
2011,03,10,12,36,0.78,0.78,0.78,,
2011,03,10,12,37,0.75,,,,
2011,03,10,12,38,0.77,,,,
2011,03,10,12,39,0.75,,,,
2011,03,10,12,40,0.76,,,,
2011,03,10,12,41,0.74,,,,
2011,03,10,12,42,0.75,0.75,0.76,,
2011,03,10,12,43,0.72,,,,
2011,03,10,12,44,0.73,,,,
2011,03,10,12,45,0.68,,,,
2011,03,10,12,46,0.73,,,,
2011,03,10,12,47,0.68,,,,
2011,03,10,12,48,0.71,0.70,0.71,,
2011,03,10,12,49,0.70,,,,
2011,03,10,12,50,0.68,,,,
2011,03,10,12,51,0.70,,,,
2011,03,10,12,52,0.67,,,,
2011,03,10,12,53,0.68,,,,
2011,03,10,12,54,0.66,0.68,0.68,,
2011,03,10,12,55,0.70,,,,
2011,03,10,12,56,0.67,,,,
2011,03,10,12,57,0.70,,,,
2011,03,10,12,58,0.65,,,,
2011,03,10,12,59,0.69,,,,
2011,03,10,13,00,0.65,0.67,0.68,,
2011,03,10,13,01,0.65,,,,
2011,03,10,13,02,0.68,,,,
2011,03,10,13,03,0.64,,,,
2011,03,10,13,04,0.64,,,,
2011,03,10,13,05,0.65,,,,
2011,03,10,13,06,0.63,0.65,0.65,,
2011,03,10,13,07,0.64,,,,
2011,03,10,13,08,0.64,,,,
2011,03,10,13,09,0.64,,,,
2011,03,10,13,10,0.63,,,,
2011,03,10,13,11,0.64,,,,
2011,03,10,13,12,0.62,0.63,0.63,,
2011,03,10,13,13,0.58,,,,
2011,03,10,13,14,0.60,,,,
2011,03,10,13,15,0.59,,,,
2011,03,10,13,16,0.60,,,,
2011,03,10,13,17,0.60,,,,
2011,03,10,13,18,0.58,0.59,0.59,,
2011,03,10,13,19,0.57,,,,
2011,03,10,13,20,0.59,,,,
2011,03,10,13,21,0.60,,,,
2011,03,10,13,22,0.57,,,,
2011,03,10,13,23,0.55,,,,
2011,03,10,13,24,0.56,0.56,0.56,,
2011,03,10,13,25,0.54,,,,
2011,03,10,13,26,0.53,,,,
2011,03,10,13,27,0.52,,,,
2011,03,10,13,28,0.55,,,,
2011,03,10,13,29,0.50,,,,
2011,03,10,13,30,0.57,0.53,0.53,,
2011,03,10,13,31,0.49,,,,
2011,03,10,13,32,0.55,,,,
2011,03,10,13,33,0.51,,,,
2011,03,10,13,34,0.52,,,,
2011,03,10,13,35,0.53,,,,
2011,03,10,13,36,0.51,0.52,0.52,,
2011,03,10,13,37,0.50,,,,
