YR,M,D,hh,mm,1MIN,6MIN,ALTERNATE,PREDICTED,RESIDUAL
2011,03,07,12,00,0.93,0.78,0.78,,
2011,03,07,12,01,0.77,,,,
2011,03,07,12,02,0.76,,,,
2011,03,07,12,03,0.77,,,,
2011,03,07,12,04,0.75,,,,
2011,03,07,12,05,0.74,,,,
2011,03,07,12,06,0.74,0.74,0.74,,
2011,03,07,12,07,0.73,,,,
2011,03,07,12,08,0.73,,,,
2011,03,07,12,09,0.72,,,,
2011,03,07,12,10,0.71,,,,
2011,03,07,12,11,0.70,,,,
2011,03,07,12,12,0.69,0.70,0.70,,
2011,03,07,12,13,0.70,,,,
2011,03,07,12,14,0.69,,,,
2011,03,07,12,15,0.68,,,,
2011,03,07,12,16,0.67,,,,
2011,03,07,12,17,0.67,,,,
2011,03,07,12,18,0.66,0.66,0.66,,
2011,03,07,12,19,0.67,,,,
2011,03,07,12,20,0.65,,,,
2011,03,07,12,21,0.65,,,,
2011,03,07,12,22,0.65,,,,
2011,03,07,12,23,0.63,,,,
2011,03,07,12,24,0.63,0.63,0.63,,
2011,03,07,12,25,0.62,,,,
2011,03,07,12,26,0.61,,,,
2011,03,07,12,27,0.62,,,,
2011,03,07,12,28,0.60,,,,
2011,03,07,12,29,0.59,,,,
2011,03,07,12,30,0.59,0.59,0.59,,
2011,03,07,12,31,0.58,,,,
2011,03,07,12,32,0.59,,,,
2011,03,07,12,33,0.57,,,,
2011,03,07,12,34,0.57,,,,
2011,03,07,12,35,0.56,,,,
2011,03,07,12,36,0.57,0.56,0.58,,
2011,03,07,12,37,0.56,,,,
2011,03,07,12,38,0.54,,,,
2011,03,07,12,39,0.55,,,,
2011,03,07,12,40,0.53,,,,
2011,03,07,12,41,0.54,,,,
2011,03,07,12,42,0.52,0.53,0.54,,
2011,03,07,12,43,0.53,,,,
2011,03,07,12,44,0.53,,,,
2011,03,07,12,45,0.51,,,,
2011,03,07,12,46,0.51,,,,
2011,03,07,12,47,0.50,,,,
2011,03,07,12,48,0.49,0.50,0.50,,
2011,03,07,12,49,0.49,,,,
2011,03,07,12,50,0.49,,,,
2011,03,07,12,51,0.49,,,,
2011,03,07,12,52,0.45,,,,
2011,03,07,12,53,0.47,,,,
2011,03,07,12,54,0.46,0.46,0.47,,
2011,03,07,12,55,0.58,,,,
2011,03,07,12,56,0.57,,,,
2011,03,07,12,57,0.56,,,,
2011,03,07,12,58,0.56,,,,
2011,03,07,12,59,0.56,,,,
2011,03,07,13,00,0.55,0.43,0.44,,
2011,03,07,13,01,0.43,,,,
2011,03,07,13,02,0.42,,,,
