YR,M,D,hh,mm,1MIN,6MIN,ALTERNATE,PREDICTED,RESIDUAL
2011,03,10,12,00,1.21,1.25,,,
2011,03,10,12,01,1.24,,,,
2011,03,10,12,02,1.19,,,,
2011,03,10,12,03,1.17,,,,
2011,03,10,12,04,1.15,,,,
2011,03,10,12,05,1.21,,,,
2011,03,10,12,06,1.21,1.20,,,
2011,03,10,12,07,1.22,,,,
2011,03,10,12,08,1.17,,,,
2011,03,10,12,09,1.14,,,,
2011,03,10,12,10,1.16,,,,
2011,03,10,12,11,1.15,,,,
2011,03,10,12,12,1.14,1.15,,,
2011,03,10,12,13,1.18,,,,
2011,03,10,12,14,1.16,,,,
2011,03,10,12,15,1.09,,,,
2011,03,10,12,16,1.13,,,,
2011,03,10,12,17,1.12,,,,
2011,03,10,12,18,1.12,1.13,,,
2011,03,10,12,19,1.12,,,,
2011,03,10,12,20,1.12,,,,
2011,03,10,12,21,1.16,,,,
2011,03,10,12,22,1.15,,,,
2011,03,10,12,23,1.17,,,,
2011,03,10,12,24,1.14,1.15,,,
2011,03,10,12,25,1.09,,,,
2011,03,10,12,26,1.08,,,,
2011,03,10,12,27,1.12,,,,
2011,03,10,12,28,1.11,,,,
2011,03,10,12,29,1.11,,,,
2011,03,10,12,30,1.09,1.09,,,
2011,03,10,12,31,1.06,,,,
2011,03,10,12,32,1.06,,,,
2011,03,10,12,33,1.06,,,,
2011,03,10,12,34,1.02,,,,
2011,03,10,12,35,1.06,,,,
2011,03,10,12,36,1.07,1.06,,,
2011,03,10,12,37,1.05,,,,
2011,03,10,12,38,1.05,,,,
2011,03,10,12,39,1.00,,,,
2011,03,10,12,40,1.03,,,,
2011,03,10,12,41,1.04,,,,
2011,03,10,12,42,1.04,1.03,,,
2011,03,10,12,43,1.00,,,,
2011,03,10,12,44,0.98,,,,
2011,03,10,12,45,0.98,,,,
2011,03,10,12,46,0.99,,,,
2011,03,10,12,47,1.01,,,,
2011,03,10,12,48,0.98,0.99,,,
2011,03,10,12,49,0.98,,,,
2011,03,10,12,50,0.97,,,,
2011,03,10,12,51,0.99,,,,
2011,03,10,12,52,0.96,,,,
2011,03,10,12,53,0.94,,,,
2011,03,10,12,54,0.95,0.94,,,
2011,03,10,12,55,0.92,,,,
2011,03,10,12,56,0.95,,,,
2011,03,10,12,57,0.98,,,,
2011,03,10,12,58,0.95,,,,
2011,03,10,12,59,0.92,,,,
2011,03,10,13,00,0.92,0.92,,,
2011,03,10,13,01,0.90,,,,
2011,03,10,13,02,0.93,,,,
2011,03,10,13,03,0.91,,,,
2011,03,10,13,04,0.92,,,,
2011,03,10,13,05,0.89,,,,
2011,03,10,13,06,0.86,0.88,,,
2011,03,10,13,07,0.86,,,,
2011,03,10,13,08,0.88,,,,
2011,03,10,13,09,0.87,,,,
2011,03,10,13,10,0.88,,,,
2011,03,10,13,11,0.89,,,,
2011,03,10,13,12,0.87,0.87,,,
2011,03,10,13,13,0.87,,,,
